Item,Quantity,Price (USD),Link,Price (ZAR)
Bearings 608RS,10, $2.83 ,https://www.temu.com/za/-30-50-100pcs--608rs-miniature-skate-bearings--durable--9-rated-carbon-steel-rollers-for--inline-skates-and-scooters-g-601099723627836.html?_oak_mp_inf=ELy6gfym1ogBGiAzYzVhMjQ3MjE5ZWI0MWNhYTIxMGZkNWM2NjYzMjY3YiCIiZW94zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffmket%2F6081a87c131dd3460f51ccf2022792d8.jpg&spec_gallery_id=7&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NjIwMA&_oak_gallery_order=736319232%2C825952256%2C645696140%2C2089959544%2C1255553392%2C1252422600%2C757806107%2C1369447853%2C767438162%2C2124838930&search_key=bearings&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&_x_sessn_id=ynuxxz9471&refer_page_name=search_result&refer_page_id=10009_1779050038961_4o1jnvluyx,R47.00
TB6600 Stepper Driver,2, $20.14 ,https://www.temu.com/za/stepper--tb6600-upgrade-for--23--34-42-57-86--4a--9-40v-1-axis-stepping-motor-cnc-sensor-module-g-601103456762968.html?_oak_mp_inf=ENj4jfC01ogBGiBjYzViMzJkODg2MGI0YmVkODY4N2ZkMGQyOTc2NTMyZiDKzKC94zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Fopen%2F51a5e3de7dae44feac2322784e5c30cb-goods.jpeg&spec_gallery_id=20254550582&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjIzMDA&_oak_gallery_order=108865494%2C270007311%2C616295509%2C1504968399%2C1213254535%2C196459669%2C1259898215%2C1915876369&search_key=tb6600&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1779050038961_4o1jnvluyx&_x_sessn_id=ynuxxz9471,R336.00
Nema 17 Stepper Motor 40mm Bipolar 2A,2, $29.74 ,https://www.temu.com/za/-17-stepper-motor-40mm--2a-48n-cm-66-7oz-in-42-motor-2--wire--stepper--8-degree-for--3d-printer-with-1-and-connector--17-stepper-motor-g-601103236069581.html?_oak_mp_inf=EM3x74a01ogBGiBiZTAxMTQ4MTM3YTk0ZDc1OTgxOTIyMjVkMThiZDcxZiCk06u94zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fa4f8f2a4-a999-45bc-88ba-f3e4aa27fdaf.jpg&spec_gallery_id=22346395393&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MzMwMDA&_oak_gallery_order=1940045492%2C708196443%2C1458928058%2C1728740112%2C858941512%2C1902153104%2C161038422%2C1619585333%2C295818075%2C1803003467&search_key=nema%2017%20stepper%20motor&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1779050038961_4o1jnvluyx&_x_sessn_id=ynuxxz9471,R496.00
12v 5A Power Supply,1, $13.49 ,https://www.amazon.co.za/Power-Supply-Reliable-Efficient-Output/dp/B0F3TWSH3F/ref=asc_df_B0F3TWSH3F?mcid=492ab08824923887a54bf27536a52227&tag=zashopgode-21&linkCode=df0&hvadid=712489308875&hvpos=&hvnetw=g&hvrand=188311835341467540&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9261432&hvtargid=pla-2439065046932&psc=1&language=en_ZA&gad_source=1,R225.00
5*8mm Stepper shaft connector,1, $2.64 ,https://www.temu.com/za/4pcs-of-motor-coupler-connectors-couplings-5mm-and-8-couplers-elastic-encoders-model-boats-model-cars-model-aircraft-metal-model-motor-connection-parts-3d-printing-additions-durable-3d-printer-components-precision-3d-printers-g-601104056754749.html?_oak_mp_inf=EL3Emo631ogBGiA3M2E1M2IwMzRmYjM0YzY5YWJmMzU2NTRjM2MyZTQ0ZiCX7ry94zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fb21b9030-6d1f-47c9-b50c-ec10a9681b9f.jpg&spec_gallery_id=23437043983&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NjIwMA&_oak_gallery_order=1590494933%2C1432112529%2C194069481%2C1896185882%2C1353228149%2C1230966258%2C1670974051%2C1528494045%2C1377143732%2C1468961912&search_key=stepper%20shaft%20connector&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1779050038961_4o1jnvluyx&_x_sessn_id=ynuxxz9471,R44.00
RASPBERRY PI 3B+,1, $59.11 ,https://www.communica.co.za/products/raspberry-pi-3b?variant=17650308776009&sfdr_ptcid=31591_617_495140060&sfdr_hash=1a71d4c71389ff4bae2517b179f1419d&utm_source=www.communica.co.za&gad_source=1&gad_campaignid=22552818411&gbraid=0AAAAADLTnIZKKY9v8cahuZvGTe5J9pTtD&gclid=Cj0KCQjwzqXQBhD2ARIsAKrIeU9S2p-wOiyiLK0Nqn_k3XhYo-m40G42Y2LgZPEC6qnB1Wje_fBCVuEaAvBPEALw_wcB,R986.00
Arduino Jumper Cables,40, $2.46 ,https://www.temu.com/za/-40-80-120pin-10cm--wire-industrial-electrical-extension-cable-male-to-female-male-to-male-female-to-female--breadboard-jumper-wires-connector-g-606495299211949.html?_oak_mp_inf=EK2l%2BIar84kBGiA0ZTMwYTJiZTdjMDU0NGQ0ODE1NGM5NDVlODRlZWJhMCCdi8m94zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F97266221-9eb1-4825-9154-6700d204855e.jpg&spec_gallery_id=35990227243&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NTQwMA&_oak_gallery_order=382467313%2C1860706507%2C1890933598%2C1545960036%2C291554395%2C1328044735%2C1679810454%2C630443036%2C1298791702%2C1196099876&search_key=jumper%20cables%20arduino&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1779050038961_4o1jnvluyx&_x_sessn_id=ynuxxz9471&is_back=1&no_cache_id=8kuzs,R41.00
Raspberry Pi Camera Cable – 50cm FFC,1, $2.22 ,https://www.diyelectronics.co.za/store/accessories/4630-raspberry-pi-camera-cable-50cm-ffc.html?utm_campaign=google_shopping&utm_source=cpc&utm_medium=evergreen&utm_content=20484314766&gad_source=1&gad_campaignid=20484314766&gbraid=0AAAAADpm0I_Rmljxb55_IPMQePmua1BPH&gclid=Cj0KCQjwzqXQBhD2ARIsAKrIeU-Bw62TeZN-j7-jgmRRwS3KGkm9c6n5yWtC7V7sgJQ_a5y0qG9kf-YaAnL_EALw_wcB,R37.00
Raspberry Pi camera module 3,1, $41.07 ,https://www.communica.co.za/products/raspberry-pi-cam-module-3-orig?variant=49198622769452&sfdr_ptcid=31591_617_704816450&sfdr_hash=129fdd4d23142073fd6e790535d20b02&utm_source=www.communica.co.za&gad_source=1&gad_campaignid=22552818411&gbraid=0AAAAADLTnIZKKY9v8cahuZvGTe5J9pTtD&gclid=Cj0KCQjwzqXQBhD2ARIsAKrIeU_av0NAHH653H55dJKW0K6Ar8UfEi4u5iNrLMhTkJNpnOCd0gyXnaEaAjtzEALw_wcB,R685.00
20AWG wire (15.3m),1, $6.18 ,https://www.temu.com/za/1pc-12-14-16-18-20-gauge-wire-12-20-awg-automotive-wire-30ft-50ft-100ft-2-conductor-red-and-black-12v-24v--cord-led-lights-remote-control-extension-cord-automotive-speaker-cord-home--electricity-electrical-wires-g-601100283362630.html?_oak_mp_inf=EMb69Iap1ogBGiAyYTkyMzRkYmE3OTM0NTVkYjA4MDFiZjQxNmE3M2E1ZSCHhcW%2B4zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fmarket%2F05dc67a4ced82d2f710d3af3130075a8_6ntoasTHyuESl.jpg&spec_gallery_id=3&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTI1MDA&_oak_gallery_order=2093559480%2C844683569%2C1544511481%2C628176134%2C1062759765%2C1337795365%2C1813198628%2C1815401264%2C483591332%2C1838222373&search_key=20awg%20wire&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&refer_page_name=search_result&refer_page_id=10009_1779052386659_5k0ik0xpy0&_x_sessn_id=ynuxxz9471,R103.00
